firstName,total,female,male,prFemale
Jaak,3,0,3,0.0
Karl-Gerhard,1,0,1,0.0
Jessie,2,2,0,1.0
Elie,1,0,1,0.0
Per-Håkan,1,0,1,0.0
Wanda,2,2,0,1.0
Gretel,6,6,0,1.0
João,1,0,1,0.0
Annemari,6,6,0,1.0
Carl-Fredrik,9,0,9,0.0
Ciri,3,3,0,1.0
Wilhelmina,2,2,0,1.0
Gertrud,81,81,0,1.0
Kira,1,1,0,1.0
Neele,3,3,0,1.0
Ronald,49,0,49,0.0
Hannah-Karin,4,4,0,1.0
Pehr,22,0,22,0.0
Lydia,20,20,0,1.0
Lewi,2,0,2,0.0
Manu,1,1,0,1.0
Simone,42,42,0,1.0
Sven-Eric,12,0,12,0.0
Nic,6,0,6,0.0
Gunlög,19,19,0,1.0
Hans-Inge,11,0,11,0.0
Eimer,2,0,2,0.0
Johny,14,0,14,0.0
Carl-Thure,2,0,2,0.0
Kanya,1,1,0,1.0
Gunillahelen,2,2,0,1.0
John-Ivan,1,0,1,0.0
Åse-Lill,9,9,0,1.0
Ewabritt,16,16,0,1.0
Sholeh,1,1,0,1.0
Sacir,1,0,1,0.0
Lolo,5,5,0,1.0
Gun-Marie,15,15,0,1.0
Ann-Lois,2,2,0,1.0
Sven-Gustaf,2,0,2,0.0
Daniele,6,0,6,0.0
Lirije,2,2,0,1.0
Urban,236,0,236,0.0
Oxana,1,1,0,1.0
Maino,3,3,0,1.0
Riitta,10,10,0,1.0
Bojan,45,2,43,0.044444444444444446
Klern,1,0,1,0.0
Mickaéla,1,1,0,1.0
Zara-Li,2,2,0,1.0
Arash,7,0,7,0.0
Karl-Allan,3,0,3,0.0
Maiken,1,1,0,1.0
Ann-sofie,1,1,0,1.0
Aneesa,6,6,0,1.0
Muhammad,3,0,3,0.0
Gulli,6,6,0,1.0
Claes-Urban,3,0,3,0.0
Borghild-Marianne,1,1,0,1.0
Helen,157,157,0,1.0
Mary-Anne,1,1,0,1.0
Zofia,8,8,0,1.0
Botolf,1,0,1,0.0
Annecharlotte,1,1,0,1.0
Birgit,348,348,0,1.0
Anna-Britta,7,7,0,1.0
Lene,10,10,0,1.0
Avni,7,0,7,0.0
Markku,24,0,24,0.0
Lorenzo,2,0,2,0.0
Bjarne,50,0,50,0.0
Alaettin,1,0,1,0.0
Kawa,5,0,5,0.0
Inga-Lisa,13,13,0,1.0
Benedict,6,0,6,0.0
Spyridon,1,0,1,0.0
Torleif,7,0,7,0.0
Filip,60,0,60,0.0
Nils-Ola,3,0,3,0.0
Céline,3,3,0,1.0
Pedro,4,0,4,0.0
Märtha,24,24,0,1.0
Sarita,4,4,0,1.0
Mashhood,2,0,2,0.0
Annelill,3,3,0,1.0
Sinikka,10,10,0,1.0
Elwing,2,0,2,0.0
Dmitar,1,0,1,0.0
Baki,2,0,2,0.0
Jukka,2,0,2,0.0
Torbjörn,490,0,490,0.0
